key_fighter_name,date,fighting_style,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,fighting_style,B_fighter,Referee,location,Winner,title_bout,weight_class,B_avg_KD,B_avg_opp_KD,B_avg_SIG_STR_pct,B_avg_opp_SIG_STR_pct,B_avg_TD_pct,B_avg_opp_TD_pct,B_avg_SUB_ATT,B_avg_opp_SUB_ATT,B_avg_REV,B_avg_opp_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_BODY_att,B_avg_BODY_landed,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_LEG_att,B_avg_LEG_landed,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_KD,R_avg_SIG_STR_pct,R_avg_opp_SIG_STR_pct,R_avg_TD_pct,R_avg_opp_TD_pct,R_avg_SUB_ATT,R_avg_opp_SUB_ATT,R_avg_REV,R_avg_opp_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_BODY_att,R_avg_BODY_landed,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_LEG_att,R_avg_LEG_landed,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,
Aalon Cruz,2020-02-29,MMA,"6' 0""",145 lbs.,"78""",Switch,20-Sep-89,7.58,39%,8.88,58%,0,0%,0%,0,,Spike Carlyle,Scott Howard,"Norfolk, Virginia, USA",Blue,FALSE,Featherweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,172.72,180.34,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,198.12,145,26,30,
Aaron Phillips,2014-08-23,Muay Thai,"5' 9""",135 lbs.,"71""",Southpaw,05-Aug-89,1.65,56%,3.44,39%,0,0%,44%,0.4,,Matt Hobar,Kevin Nix,"Tulsa, Oklahoma, USA",Blue,FALSE,Bantamweight,0,0,0.25,0.55,0,1,0,1,0,0,27,7,43,24,27,7,46,27,0,0,2,2,21,2,39,23,2,1,4,1,4,4,0,0,25,5,35,16,2,2,2,2,0,0,6,6,16,31,167,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,177.8,177.8,135,0,0,0.45,0.54,0,0.62,1,1,1,1,40,18,68,37,137,109,129,95,0,0,8,5,23,5,53,28,14,12,13,8,3,1,2,1,26,9,31,12,6,3,6,4,8,6,31,21,68,609,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,175.26,180.34,135,27,25,
Abdul Razak Alhassan,2020-11-14,Muay Thai,"5' 10""",170 lbs.,"73""",Orthodox,11-Aug-85,4.54,48%,5.11,53%,0.72,28%,42%,0,,Khaos Williams,Mark Smith,"Las Vegas, Nevada, USA",Blue,FALSE,Welterweight,1,0,0.58,0.25,0,0,0,0,0,0,17,10,4,1,17,10,4,1,1,0,0,0,12,6,3,1,4,4,1,0,1,0,0,0,10,4,4,1,4,4,0,0,3,2,0,0,5,0,27,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,182.88,195.58,170,0.53125,0,0.5340625,0.4703125,0.145625,0.583125,0,0,0.03125,0,83.46875,42.28125,103.09375,55.125,86.75,45.125,113.75,64.84375,2.1875,0.5625,2.90625,2.3125,68.75,31.53125,70.3125,29.1875,4.15625,3.96875,20.90625,14.5625,10.5625,6.78125,11.875,11.375,74.34375,37.875,86.90625,42.71875,9,4.3125,12.1875,8.71875,0.125,0.09375,4,3.6875,55.0625,165.3125,535.21875,10,0,1,0,3,4,2,0,0,0,0,4,0,0,Orthodox,177.8,185.42,170,26,35,
Adrian Yanez,2021-03-20,Boxer,"5' 7""",135 lbs.,"70""",Orthodox,29-Nov-93,4.69,44%,2.31,55%,0,0%,100%,0,,Gustavo Lopez,Chris Tognoni,"Las Vegas, Nevada, USA",Red,FALSE,Bantamweight,0,0,0.42,0.495,0.33,0.36,0.5,1,0,0,50,20,84,45,76.5,41,114,64,1.5,1,9,6.5,39.5,11,63,27.5,7.5,7,12,9,3,2,9,8.5,35,12.5,43.5,17.5,10.5,4.5,4,3,4.5,3,36.5,24.5,34,277.5,531.5,4,0,0,1,1,1,1,0,0,0,0,0,1,0,Orthodox,165.1,170.18,135,1,0,0.5,0.46,0,0,0,0,0,0,34,17,13,6,35,18,16,9,0,0,3,0,32,15,11,5,2,2,2,1,0,0,0,0,33,16,12,6,1,1,1,0,0,0,0,0,5,54,166,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,170.18,177.8,135,31,27,
Aiemann Zahabi,2021-02-20,MMA,"5' 8""",135 lbs.,"68""",Orthodox,19-Nov-87,2.82,40%,3.91,65%,0.33,16%,72%,0,,Drako Rodriguez,Mark Smith,"Las Vegas, Nevada, USA",Red,FALSE,Bantamweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,135,0.25,0.25,0.375,0.3425,0.1,0.1875,0,0,0.25,0,95.25,36.5,168,56,96.25,37.5,171,59,2.75,0.5,4.5,1.25,80.5,26.25,128.5,29.75,11.25,7.25,23.5,13.75,3.5,3,16,12.5,91,33.5,164,53.25,3,2.25,2.5,1.25,1.25,0.75,1.5,1.5,47,45,854.5,9,0,1,0,1,1,2,0,0,0,1,0,0,0,Orthodox,172.72,172.72,135,24,33,
Aaron Riley,2013-07-27,Aaron-Riley,,"5' 8""",155 lbs.,"69""",Southpaw,09-Dec-80,3.45,34%,3.78,61%,1.18,34%,60%,0.1,,Justin Salas,Randy Corley,"Seattle, Washington, USA",Blue,FALSE,Lightweight,0,1,0.535,0.47,0.13,0,0,0,0,0,59.5,27.5,78.5,32,68.5,35.5,81.5,34.5,9.5,2,0,0,42,13.5,63,20.5,8.5,7,13.5,10,9,7,2,1.5,46.5,17.5,58,19,6.5,5,12.5,8.5,6.5,5,8,4.5,127,10,483,4,0,1,0,1,1,1,0,0,0,1,0,0,0,Southpaw,172.72,177.8,155,0,0.0390625,0.296953125,0.377578125,0.13703125,0.134765625,0.0078125,0,0,0,72.1953125,24.15625,92.8125,35.8203125,100.8125,51.5625,102.109375,44.4921875,2.6328125,0.90625,0.9375,0.3125,51.109375,9.390625,72.0625,22.9140625,10.6484375,7.28125,13.1171875,10.0078125,10.4375,7.484375,7.6328125,2.8984375,60.109375,15.703125,79.5,28.03125,10.078125,6.9453125,13.015625,7.625,2.0078125,1.5078125,0.296875,0.1640625,111.8515625,18.4140625,528.3125,17,0,0,2,1,3,5,0,0,0,3,0,0,0,Southpaw,172.72,175.26,155,31,32
Aaron Rosa,2011-11-12,Aaron-Rosa,,"6' 4""",205 lbs.,"77""",Orthodox,28-May-83,4.03,47%,4.41,45%,0.36,33%,85%,0.4,,Matt Lucas,John McCarthy,"Anaheim, California, USA",Red,FALSE,LightHeavyweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,185.42,,205,0,0,0.4,0.46,0,0.25,0,0,0,0,179,73,188,88,258,135,304,185,1,0,4,1,158,56,146,53,16,13,19,16,5,4,23,19,160,62,154,59,19,11,27,22,0,0,7,7,8,320,686,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,193.04,195.58,205,,28
Aaron Simpson,2012-10-05,Aaron-Simpson,,"6' 0""",170 lbs.,"73""",Orthodox,20-Jul-74,3.6,52%,2.53,56%,3.78,34%,83%,0.5,,Mike Pierce,Darryl Guthmiller,"Minneapolis, Minnesota, USA",Blue,FALSE,Welterweight,0.03125,0,0.516367188,0.4125,0.2503125,0.1765625,0.0625,0.00390625,0,0,82.8125,39.63671875,70.46875,28.828125,150.3515625,99.625,93.421875,46.75,6.97265625,2.01171875,1.6640625,0.578125,64.6328125,25.44140625,54.58203125,15.0859375,8.0859375,6.15625,10.81640625,9.3203125,10.09375,8.0390625,5.0703125,4.421875,56.33203125,19.09765625,54.66796875,16.4609375,14.65625,12.03515625,15.4921875,12.0625,11.82421875,8.50390625,0.30859375,0.3046875,423.5,55.73046875,880.453125,26,0,1,0,3,6,3,0,0,1,3,1,1,0,Orthodox,172.72,180.34,170,0.50390625,0,0.632089844,0.530664063,0.243789063,0.10265625,0.1328125,0.0078125,0,0.015625,82.99414063,50.75976563,68.2578125,34.734375,130.1171875,88.82421875,83.7265625,49.28125,10.28125,3.546875,4.8984375,0.58203125,57.45507813,29.0078125,46.22851563,15.12109375,14.31640625,10.84570313,9.912109375,7.88671875,11.22265625,10.90625,12.1171875,11.7265625,37.83789063,15.11523438,44.40039063,16.2421875,22.04492188,17.45898438,19.4921875,14.39648438,23.11132813,18.18554688,4.365234375,4.095703125,424.5390625,130.2539063,894.6191406,26,0,3,0,3,7,3,0,0,1,4,2,0,0,Orthodox,182.88,185.42,170,32,38
Abel Trujillo,2017-02-04,Abel-Trujillo,,"5' 8""",155 lbs.,"70""",Orthodox,18-Sep-83,2.65,41%,2.31,59%,2.18,45%,40%,0.4,,James Vick,Kerry Hatley,"Houston, Texas, USA",Blue,FALSE,Lightweight,0.03125,1.125,0.360625,0.4578125,0,0.190625,0.15625,0,0.09375,0,76.90625,34.15625,79.59375,37.65625,90.40625,47.65625,88.8125,46.0625,0.15625,0,4.1875,1.28125,63.03125,27.21875,62.875,24.6875,11.09375,5.15625,9.6875,6.96875,2.78125,1.78125,7.03125,6,73.4375,31.625,56.53125,21.84375,3.40625,2.53125,8.9375,5.9375,0.0625,0,14.125,9.875,26.3125,139.75,475.8125,12,0,5,0,5,5,1,0,0,0,3,0,2,0,Orthodox,190.5,193.04,155,0.09765625,0,0.34171875,0.378398438,0.55359375,0.545039063,0.2578125,0.75,0,0,52.33984375,21.328125,40.609375,13.6015625,64.640625,33.6015625,56.38671875,28.30859375,2.515625,1.71875,4.38671875,1.68359375,46.92578125,17.3046875,34.90234375,10.80859375,5.30078125,3.91015625,3.04296875,1.453125,0.11328125,0.11328125,2.6640625,1.33984375,41.13671875,14.83984375,36.56640625,11.28515625,5.25390625,2.8515625,2.8515625,1.2265625,5.94921875,3.63671875,1.19140625,1.08984375,138.3125,147.3242188,578.1328125,18,0,1,0,3,6,3,0,0,0,1,3,1,0,Orthodox,172.72,177.8,155,29,33
Abubakar Nurmagomedov,2019-11-09,Abubakar-Nurmagomedov,,"5' 11""",170 lbs.,"72""",Orthodox,13-Nov-89,1.41,44%,0.71,81%,5.29,100%,0%,0,,David Zawada,Marc Goddard,"Moscow, Moscow, Russia",Blue,FALSE,Welterweight,0.5,0.5,0.45,0.455,0.2,0.25,2.5,0.5,0.5,0,124,53,154.5,67,142,68.5,175.5,82.5,4.5,1,2,0.5,105,36.5,128,45.5,17,14.5,8.5,8,2,2,18,13.5,105,40.5,124.5,47.5,15.5,10,6.5,2,3.5,2.5,23.5,17.5,105.5,301,873.5,6,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,29,29
